Usage,Limit,MortgageStatus,HistoryStatus,CountStatus,OverdueStatus,Gender_male
1.01,1000,0,0,1,1,1
1,1000,0,1,1,1,1
1.01,1000,0,1,1,1,1
1,1000,0,1,1,1,1
0.98,1000,0,1,1,1,1
1,1000,0,1,1,1,1
1,1000,0,1,1,1,1
0.95,1000,0,0,1,1,0
0.35,1000,0,1,1,1,0
0.43,1000,0,0,1,1,1
0.2,1000,0,0,1,0,1
0.59,1000,0,0,1,1,0
0.99,1000,0,1,1,1,1
0.99,1000,1,1,1,1,1
1,1000,0,0,1,1,0
0.99,1000,0,0,1,0,1
0,1000,0,0,0,0,1
0.4,1000,0,1,1,1,1
0.19,1000,0,0,1,1,1
1,1000,1,1,1,0,0
1,1000,1,1,1,0,1
1.01,1000,0,1,1,0,1
1.01,1000,0,0,1,0,0
0.6,1000,0,1,1,1,1
0,1000,0,0,1,1,1
1,1000,1,0,1,0,1
1.01,1000,0,0,1,0,1
0,1000,0,0,1,0,0
1.02,1000,0,1,1,1,1
1.03,1000,0,0,1,1,1
0.99,1000,0,1,1,1,1
1.01,1000,0,1,1,1,1
1,1000,0,1,1,1,1
0.05,1000,1,0,1,0,0
1.45,1000,0,1,1,1,1
1.01,1000,0,0,1,1,1
0.74,1000,0,1,1,1,1
1,1000,0,0,1,1,0
1.11,1000,0,1,0,1,0
1.5,1000,0,0,1,1,1
1.01,1000,0,1,1,1,0
1.01,1000,0,1,0,0,0
1,1000,0,1,1,1,0
0.52,1000,0,1,0,1,1
0.98,1000,0,1,1,1,1
1.5,1000,0,0,1,0,1
4.43,1000,0,0,1,0,1
1.02,1000,0,1,0,1,1
1.15,1000,1,1,1,1,1
1.01,1000,0,1,1,0,1
0.99,1000,0,1,1,1,1
0.01,1000,0,1,1,0,0
0.07,1000,0,0,1,0,1
0.23,1000,0,1,1,1,0
1.19,1000,1,0,1,1,1
0.2,1000,0,0,1,0,0
0.53,1000,0,1,1,0,1
0.02,1000,0,0,1,1,0
1.01,1000,1,0,1,0,1
0.16,1000,0,0,1,0,1
1.05,1000,1,1,1,1,1
0.91,1000,0,1,1,0,1
0.89,1000,0,1,1,0,1
0,1000,0,0,0,0,1
0.99,1000,0,0,1,1,1
0,1000,0,0,1,1,1
0.98,1000,0,1,1,1,0
0.98,1000,0,0,1,1,1
0.74,1000,0,1,1,1,1
0.86,1000,0,1,1,1,1
0.99,1000,0,1,1,1,1
1,1000,1,1,1,1,1
0.48,1000,0,0,0,0,1
0.22,1000,0,1,1,1,1
0.92,1000,0,0,1,1,0
1,1000,0,0,1,1,1
5,1000,0,0,1,1,1
0.99,1000,1,0,1,1,1
0.18,1000,0,0,1,0,0
0.93,1000,0,1,1,1,1
1.32,1000,0,1,1,1,1
0.9,1000,1,0,1,0,1
0.98,1000,0,1,1,1,1
0.34,1000,0,1,1,1,1
0.76,1000,0,1,1,1,0
1,1000,0,1,1,1,1
0.8,1000,0,0,1,0,0
0,1000,0,0,1,0,1
0.57,1000,0,1,1,1,0
1,1000,1,0,1,0,1
0,1000,0,0,1,1,1
0.98,1000,0,0,1,1,1
0.03,1000,0,0,1,1,1
1.02,1000,0,1,1,1,1
1,1000,0,1,1,1,1
0.88,1000,1,1,1,1,0
1,1000,1,0,1,1,1
0.51,1000,1,0,1,0,1
0.81,1000,1,0,1,1,1
0.05,1000,0,0,0,1,1
1,1000,0,0,1,1,1
0.57,1000,0,1,0,0,0
0.26,1000,0,1,1,1,1
0.81,1000,0,1,1,1,1
1.62,1000,0,0,1,1,1
1,1000,0,0,1,1,1
1.09,1000,0,1,1,1,1
0.62,1000,0,1,1,1,1
0.57,1000,0,1,1,1,1
1,1000,1,0,1,0,1
1,1000,1,1,1,0,1
1.02,1000,0,1,1,1,0
0.32,1000,0,1,1,0,1
0.17,1000,0,0,1,0,1
0.87,1000,0,1,1,1,0
0.08,1000,0,0,1,1,1
5,1000,1,0,1,0,1
0.99,1000,0,1,1,1,0
1.19,1000,1,1,1,1,0
1.49,1000,0,0,1,1,0
1.01,1000,1,1,1,1,0
0.76,1000,0,1,0,1,1
1.02,1000,0,1,1,1,1
0.99,1000,0,0,1,0,1
0.98,1000,0,0,1,1,1
0.52,1000,0,0,1,0,1
0.62,1000,0,0,1,0,1
1.09,1000,0,1,1,1,1
1.01,1000,0,0,1,0,1
0,1000,0,0,1,0,1
0.08,1000,0,0,1,1,1
1.05,1000,0,0,1,1,1
0.89,1000,0,1,1,1,1
0.98,1000,0,0,1,1,1
1.3,1000,0,0,1,1,1
0.63,1000,0,1,0,1,1
1.17,1000,0,1,1,1,0
0,1000,0,0,1,0,0
0.13,1000,0,1,1,1,1
1.02,1000,1,1,0,1,0
0.2,1000,0,0,1,0,1
0.13,1000,0,1,1,0,0
0.85,1000,0,1,0,1,1
0,1000,0,0,1,0,1
0.7,1000,0,0,0,1,1
0.16,1000,0,0,0,0,0
1.25,1000,0,1,0,1,1
1,1000,1,1,1,0,1
0.02,1000,0,1,1,1,0
1.21,1000,0,1,1,1,1
1.02,1000,0,1,1,1,1
0.45,1000,0,1,1,1,1
0.05,1000,1,0,0,0,1
4.26,1000,0,1,1,1,1
0.88,1000,0,0,1,0,1
0,1000,0,0,1,1,1
1,1000,0,1,1,0,0
1.03,1000,0,1,1,1,1
0.56,1000,0,1,0,1,1
0.99,1000,0,0,1,0,1
1,1000,0,0,1,0,1
0,1000,0,0,1,1,0
0,1000,0,1,1,1,1
1.02,1000,0,0,0,1,1
0.76,1000,0,0,1,0,0
0.41,1000,0,1,1,1,0
0.85,1000,0,0,1,1,1
1.01,1000,0,1,1,1,1
1.02,1000,0,1,1,1,1
1.07,1000,0,1,1,1,0
0.47,1000,0,0,1,1,1
0,1000,0,0,1,0,0
1.01,1000,0,1,0,1,0
0.94,1000,0,1,1,0,1
1.02,1000,0,1,1,0,1
1.12,1000,0,1,1,0,1
0.11,1000,0,0,1,0,1
1,1000,1,0,1,0,1
0.02,1000,0,0,0,0,1
0.29,1000,0,1,1,1,0
0.23,1000,0,0,1,0,0
1,1000,0,1,1,1,1
1,1000,1,0,1,0,1
1.11,1000,0,1,1,1,1
0.03,1000,1,0,1,0,1
1,1000,0,0,1,1,1
0.46,1000,0,0,1,0,1
0.18,1000,1,0,1,0,0
1.01,1000,0,0,1,0,1
1.02,1000,0,1,1,1,0
1.46,1000,0,1,1,1,0
0.99,1000,0,1,0,1,0
0.51,1000,0,1,1,1,1
1.01,1000,1,1,1,1,0
1.31,1000,0,1,1,1,1
0.76,1000,1,0,1,0,1
0.95,1000,0,1,1,1,1
0.67,1000,0,1,1,1,0
1.01,1000,0,0,1,1,1
1.02,1000,1,1,1,1,1
1,1000,1,0,1,1,1
1,1000,0,1,1,0,1
0.78,1000,0,1,1,1,0
0.56,1000,0,1,1,1,1
0.31,1000,0,1,1,1,1
0,1000,0,0,1,0,1
0.88,1000,0,1,1,1,1
0.96,1000,0,1,0,0,1
0.99,1000,0,1,1,1,1
1.2,1000,0,1,1,1,1
0.92,1000,0,1,1,0,1
0.9,1000,0,1,0,1,1
1,1000,0,0,1,1,1
1,1000,1,0,1,0,0
0.84,1000,0,0,1,0,1
1.01,1000,0,1,1,1,1
1.06,1000,0,1,0,1,0
0.87,1000,0,1,1,1,1
1,1000,0,0,1,0,1
0.38,1000,0,1,1,1,1
0.13,1000,0,0,1,0,0
1.02,1200,0,1,1,1,1
1.1,1200,0,1,1,1,1
0.95,1200,0,0,1,0,1
1.02,1200,1,1,0,0,1
1.04,1200,0,1,1,1,1
0.26,1200,0,0,0,0,1
1,1200,1,1,1,1,1
0.99,1200,1,0,1,0,1
1.59,1200,0,1,1,1,1
1.03,1200,0,1,1,1,1
1,1300,0,1,1,1,1
0.96,1400,0,0,1,0,1
0.99,1400,0,0,1,1,1
0.13,1500,0,0,1,0,1
0.91,1500,0,0,1,1,1
1.04,1500,0,0,1,0,1
1.02,1500,0,1,1,1,1
0,1500,0,0,1,1,1
1.03,1500,0,1,1,1,1
0.95,1500,0,1,0,1,1
1,1500,1,1,0,1,0
1,1500,0,1,1,0,1
1,1500,0,0,1,1,0
0.11,1500,0,1,1,1,1
1.01,1500,0,1,1,1,1
0.72,1500,0,1,1,1,1
1.03,1500,0,1,1,1,1
0.01,1500,0,1,1,1,1
0.07,1500,0,0,1,0,0
1,1500,0,0,1,1,1
0.06,1500,0,0,1,0,0
1,1500,0,0,1,0,1
1,1500,1,1,1,1,0
1.09,1500,0,1,1,1,1
1.02,1500,0,0,0,0,1
0,1500,0,1,1,1,1
0.98,1500,0,1,1,1,1
0.19,1500,0,1,1,0,1
0.01,1500,0,0,1,1,1
0.89,1500,0,1,1,1,1
0.95,1500,0,1,1,1,1
0.51,1600,0,0,0,0,0
1,1600,1,0,1,0,1
1,1600,0,1,1,1,1
0.98,1600,1,1,1,0,1
0.99,1600,0,0,1,1,1
1,1600,0,1,1,1,1
1,1600,0,0,1,1,1
0.02,1600,0,0,0,1,1
2.28,1600,0,0,1,1,0
0.98,1700,0,1,1,1,1
1.51,1700,0,1,1,1,1
0.97,1800,0,1,1,1,1
1.9,1900,1,0,1,0,1
1.02,1900,0,1,1,1,1
1.01,2000,0,0,1,1,1
0.22,2000,0,0,1,1,1
0.99,2000,0,1,1,1,1
0.98,2000,0,1,1,1,1
0.72,2000,0,0,1,1,0
0.22,2000,0,0,0,0,1
1.01,2000,0,1,1,1,1
0.81,2000,1,1,1,1,0
0.39,2000,0,0,1,0,1
1.02,2000,0,0,0,1,1
0.54,2000,0,1,0,1,1
0,2000,0,1,1,1,0
0.93,2000,0,1,1,1,0
1,2000,0,0,1,1,0
1.01,2000,0,0,1,1,0
0.91,2000,0,0,1,0,0
1,2000,0,0,1,1,0
0,2000,0,1,0,0,1
0.67,2000,0,0,1,1,0
0,2000,0,0,1,0,0
1.01,2000,0,1,1,1,0
0.04,2000,0,1,1,0,1
1.01,2000,0,1,1,1,0
0.72,2000,0,1,1,1,1
1.01,2000,0,0,0,1,0
0.87,2000,0,0,1,1,0
0.81,2000,0,1,1,1,0
0.23,2000,0,0,1,0,1
1,2000,0,1,1,1,0
0.42,2000,0,1,1,1,1
1.03,2000,0,1,1,1,0
0.03,2000,0,1,1,1,1
0.87,2000,0,0,1,0,1
1.06,2000,0,1,1,1,1
0.61,2000,0,1,1,0,0
0.09,2000,0,0,1,1,0
1.02,2000,0,1,1,1,1
0.97,2000,0,0,1,0,1
0.4,2000,0,1,0,1,1
1.02,2000,0,1,1,1,1
0.97,2000,0,0,1,0,0
1.02,2000,0,1,0,1,1
0.05,2000,0,0,1,0,1
1,2000,0,0,1,1,0
1,2000,0,1,1,1,1
0.99,2000,0,1,1,1,1
0.7,2000,0,1,0,1,1
1.03,2000,0,1,1,1,1
1.02,2000,0,1,1,1,1
0.83,2000,1,0,1,1,1
1.02,2000,1,1,0,1,1
0.46,2000,0,1,1,1,1
0.98,2000,0,0,1,1,1
0.96,2000,0,1,0,1,0
1.11,2000,1,1,1,0,1
0.74,2000,0,0,0,1,1
1.05,2000,0,1,0,1,0
0.37,2000,0,0,1,1,1
0.1,2000,0,0,1,0,1
1.02,2000,0,1,1,0,1
0.4,2000,0,1,1,1,1
0.45,2000,0,0,1,0,1
